Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Continuous or Alternating Legs ,Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Bodyweight Dead Bug,https://youtu.be/jbWmbhElf3Q,https://youtu.be/g_BYB0R-4Ws,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Bodyweight,1,None,0,Supine,Single Arm,Alternating,No Grip,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Core,Other,Compound,Contralateral,Postural
Bodyweight Alternating Heel Taps,https://youtu.be/URWXz0DmE7s,https://youtu.be/IVppNiu0hvw,Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,None,0,Supine,Double Arm,Alternating,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lateral Flexion,,,Frontal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
Bodyweight Flutter Kicks,https://youtu.be/e_s7uBNPnow,https://youtu.be/DNx0PYv7_L8,Beginner,Hip Flexors,Iliopsoas,Rectus Abdominis,,Bodyweight,1,None,0,Supine,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
Bodyweight Kneeling Forearm Plank,https://youtu.be/Ns1NS9ThNhI,https://youtu.be/5HyOjaj7atU,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Frontal Plane,,,Core,Other,Compound,Bilateral,Calisthenics
Bodyweight Seated Ab Circles,https://youtu.be/GflQ_ymx9Nw,,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Seated Floor,No Arms,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Ring Hanging Oblique Knee Raise,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Calisthenics
Stability Ball Stir the Pot,https://youtu.be/IfOtFv6zz8I,https://youtu.be/FpH1C25VyXE?si=hAzBuHZIBIX0MG4j,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,Spinal Rotational,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Bodyweight Alternating Lateral Kick Through,https://youtu.be/1jCudOtlLsc,https://youtu.be/86NNY5U6jqk,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Rotational,,,Frontal Plane,,,Core,Other,Compound,Unilateral,Animal Flow
Ring Hanging L Sit Flutter Kicks ,https://youtu.be/Y7Ua1YRsqd0,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,Isometric Hold,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Calisthenics
Slam Ball Russian Twist,https://youtu.be/qyZ0pAtgo_Y,,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Slam Ball,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Dumbbell Crush Grip Otis Up,,,Novice,Abdominals,Rectus Abdominis,Rectus Abdominis,Obliques,Dumbbell,1,None,0,Supine,Double Arm,Continuous,Crush Grip,Overhead,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Single Arm Dumbbell Side Plank Reach Through ,https://youtu.be/Ec9Ymqhe5i4,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1,None,0,Side Plank,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Core,Other,Compound,Unilateral,Unsorted*
Ab Wheel Kneeling Rollout,https://youtu.be/QB2Gj1QGfjQ,https://youtu.be/A3uK5TPzHq8,Novice,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,Ab Wheel,1,None,0,Kneeling,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Cable Seated Crunch,https://youtu.be/gQT76pz_X9Y,https://youtu.be/vg1KU7HNbyw,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Cable,1,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Isolation,Bilateral,Unsorted*
Cable Kneeling Crunch,https://youtu.be/ToJeyhydUxU,https://youtu.be/vsAPBAg0fb0,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Cable,1,None,0,Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Isolation,Bilateral,Unsorted*
Medicine Ball V Up,https://youtu.be/E0WFCTnN728?si=YvTVZvOCRm_hjh2B,https://youtu.be/7MY2agzydDw,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Medicine Ball,1,None,0,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Suspension Knee Tuck,https://youtu.be/z2tctrNfTrY,https://youtu.be/EXIJ4dILenc,Novice,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,Anti-Extension,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Suspension Lateral Knee Tuck,https://youtu.be/nedEXGnhHak,https://youtu.be/Jz9UDCeyuBo,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Suspension Archer Row ,https://youtu.be/O0wf46CgVZg,,Novice,Shoulders,Posterior Deltoids,,,Suspension Trainer,1,None,0,Standing,Double Arm,Alternating,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,Unsorted*
Single Arm Dumbbell Turkish Get Up,https://youtu.be/saYKvqSscuY,https://youtu.be/MlDLOiN42d4,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1,None,0,Supine,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Grinds
Bodyweight Bear Crawl,https://youtu.be/8y-C1wUb-3c,https://youtu.be/Wgt1vdZ_YYk,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Core,Other,Compound,Contralateral,Animal Flow
Stability Ball Knee Tuck,https://youtu.be/Q8MnsYG5sbk?si=8Aln2doES1PVTKQP,https://youtu.be/PbCgRWzQPc8,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Ring Hanging Leg Raise ,https://youtu.be/IMWzJ7zkklA,,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Calisthenics
Parallette L Sit,https://youtu.be/lLu9U0G7Ogw,https://youtu.be/rzK07x9QeNY,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars,2,None,0,L Sit,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Calisthenics
Bodyweight Standing Walkout Plank,https://youtu.be/R6SMJ-TzgZo,https://youtu.be/R6SMJ-TzgZo,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Standing,Double Arm,Alternating,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Calisthenics
Ring Eccentric Pull Up,https://youtu.be/4vEoBieXyKk,,Novice,Back,Latissimus Dorsi,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Barbell Climb,,https://youtu.be/1bBP54xKHbQ,Expert,Abdominals,Rectus Abdominis,,,Barbell,1,None,0,Standing,Double Arm,Alternating,Neutral,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Calisthenics
Bodyweight Ipsilateral Bird Dog,https://youtu.be/8e1m4FNO7t8,,Advanced,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,None,0,Quadruped,Single Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Core,Other,Compound,Ipsilateral,Unsorted*
Bodyweight Copenhagen Plank Knee to Elbow,,https://youtu.be/DrSAMHlAk4I,Advanced,Adductors,Adductor Magnus,,,Bodyweight,1,Bench (Flat),1,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,Foot Elevated (Side),Single Exercise,Hip Adduction,,,Transverse Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*
Ring Eccentric Chin Up,https://youtu.be/QvgPN5XfDX8?si=0U64Q99rkmh8yNmO,https://youtu.be/Gh3vyrtzkmY,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Single Arm Dumbbell Seated Shoulder External Rotation,https://youtu.be/HeY0G79zbGA?si=qV6g26pqatUMpDew,https://youtu.be/XKCfeJp4Qo0,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1,Bench (Flat),1,Seated,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*
Double Dumbbell Seated Cuban Rotation,https://youtu.be/oYGHjG0jZuA,https://youtu.be/Ia8KK_P8r6Y,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*
Double Dumbbell Cuban Rotation,https://youtu.be/_Cfrbn8dxH4,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,https://youtu.be/Ff4Dg3T4pNQ?si=xU9cm-kpyPdrIwA0,https://youtu.be/eM0V87yceog,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,None,0,Half Kneeling,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*
Miniband Fire Hydrant,https://youtu.be/gnzypKUFU6Y,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1,None,0,Quadruped,No Arms,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding
Medicine Ball Russian Twist,https://youtu.be/vT8p57mXVDo?feature=shared,https://youtu.be/5BF32n07JBY,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Medicine Ball,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Bodyweight Side Plank,https://youtu.be/_R389Jk0tIo,https://youtu.be/rCxF2nG9vQ0,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,None,0,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Core,Other,Compound,Unilateral,Calisthenics
Cable Reverse Crunch,https://youtu.be/3Mn_4KTDTi0?si=3zBBQ33AQDN7XPp4,https://youtu.be/Ss3G7RnIjV4,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Cable,1,None,0,Supine,No Arms,Continuous,No Grip,Other,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Cable Rope Half Kneeling High to Low Chop,https://youtu.be/hUbRkz4AxkE,https://youtu.be/KOh8cxe2ziE,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Cable Rope Half Kneeling Low to High Chop,https://youtu.be/48LIxDpby_E?feature=shared,https://youtu.be/AA7q2T4IOCk,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Cable Rope Staggered Stance High to Low Chop ,https://youtu.be/FFaeQW7hwYs?feature=shared,https://youtu.be/jnG8cjO0fMQ?si=8rvMJWRgsZskHMP9,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Cable Rope Staggered Stance Low to High Chop,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Single Arm Dumbbell Windmill,https://youtu.be/EVLXzqAzAHI,https://youtu.be/0gMRrtTN5OE?si=UAizRA3GShfFTChg,Intermediate,Abdominals,Obliques,Rectus Abdominis,Anterior Deltoids,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Unilateral,Unsorted*
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Double Kettlebell Front Rack Lateral Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Bodyweight Feet On Wall Mountain Climber ,https://youtu.be/jGwHfj957eU?si=i-ZtryUkm2Geud9J,https://youtu.be/OcGkhubaWzE,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Alternating,Feet Elevated,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Calisthenics
Slider Double Kettlebell Suitcase Reverse Lunge,https://youtu.be/1SlpUMsiiiw?si=WnEVv0WTROHdU4eR,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Hollow Body Hold,https://youtu.be/4xRpGgttca8,https://youtu.be/hf00_b2sRdc,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,Double Arm,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Dumbbell Crush Grip Hollow Body Hold,https://youtu.be/Wo-pGZst6l0,,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell,1,None,0,Supine,Double Arm,Continuous,Crush Grip,Other,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Bar Inverted Hanging Crunch,https://youtu.be/LXQTkeYPki8,https://youtu.be/gQbe4jcqfEA,Expert,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Pull Up Bar,1,None,0,Inverted ,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Bodyweight Inverted Hanging Oblique Crunch,,,Expert,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Bodyweight,1,None,0,Inverted ,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Slider Double Kettlebell Front Rack Reverse Lunge,https://youtu.be/-p1l0vXTtAU?si=ebEJZJZkoWYTDFbC,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Supine Alternating Single Leg Raise,https://youtu.be/IUCoqgdvDxU?si=8xtgp1M-mJqke2mR,https://youtu.be/TJITvui4Wwo,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Bodyweight,1,None,0,Supine,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
Bodyweight Supine Leg Raise,https://youtu.be/q0JVBRHoLz4,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Bodyweight,1,None,0,Supine,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Miniband Bicycle Crunch,https://youtu.be/q_c5MFYuza4,https://youtu.be/i5hJzH1AhRw,Novice,Abdominals,Obliques,Rectus Abdominis,,Miniband,1,None,0,Supine,No Arms,Alternating,Head Supported,No Load,Alternating,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Unilateral,Unsorted*
Bodyweight Side Plank Reach Through,https://youtu.be/7lfNb_zydvQ,https://youtu.be/-ruAdV34H54,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,None,0,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Core,Other,Compound,Unilateral,Calisthenics
Bodyweight Sit Up,https://youtu.be/bT8NVeDvuQg?si=paUR-bam-jwd-xPx,https://youtu.be/-WSon5E798w,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Bodyweight Butterfly Sit Up,https://youtu.be/ZLyOWSPnVrM,https://youtu.be/hdXsuDt2PKE,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
Slider Mountain Climber,https://youtu.be/fjHQIVIPLHY,https://youtu.be/jNoFTnT6QEg?si=Ifucn1FF5b_Hxnq5&utm_source=MTQxZ,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Sliders,2,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
Slider Pike ,https://youtu.be/vB803WCcQDk?si=hXUn4t23jP7Bn6R8,https://youtu.be/dIhjNYsITbc,Advanced,Abdominals,Rectus Abdominis,,,Sliders,2,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
